title
"Job Size: Per Job (Core Count): by PI"
parameters

start,end
2014-05-15,2015-05-14
---------
PI,"Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)"
"S V N, Vishwanathan - UC Santa Cruz",443,37.09921832060617
"Soe, Min - Rogers State U",442,45.52557264501744
"Blanquart, Guillaume - Caltech",441,33.00389873077724
"Helenbrook, Brian - Clarkson U",440,79.79350146579839
"Singh, Parampreet  - Louisiana State U",439,46.94123983613203
"Francoeur, Mathieu - U Utah",438,62.57627415794519
"Bishop, Thomas C - Louisiana Tech",421,44.96021038622583
"Holley-Bockelmann, Kelly - Vanderbilt U",421,88.09880612528144
"McGovern, Amy - U Oklahoma",417,21.701234449014994
"Bradford, Kent Jay - UC Davis",416,83.13843876330611
"Guo, X Edward - Columbia U",414,9.91682561935151
"Keyes, David Eliot - KAUST",411,81.87011359464454
"El-Alaoui, Mostafa - UCLA",410,1.8123034591961928
"Goldberg, Sharon - Boston U",408,26.804091009559915
"Mashayek, Farzad - U Illinois, Chicago",408,10.79866410954505
"Chen, Alan Austin - SUNY Albany",397,38.53860975655859
"Romps, David - UC Berkeley",394,28.00151374194248
"Wise, John H - Georgia Tech",392,22.816301796319458
"Sterling, Thomas - Indiana U",388,24.617562884808034
"Huarte-Espinosa, Martin - U Rochester",386,32.943864260620416
"Billington, Sarah L - Stanford U",385,42.387580349875485
"Bishop, Anthony C - RPI",384,0
"Filip, Grzegorz Piotr - U Michigan",384,43.93165989063087
"Malaspina, David Cesar - Northwestern U",380,48.64736545909343
"Cohen, Marvin L. - UC Berkeley",379,8.690393348150172
"Fields, Aaron J - UC San Francisco",378,157.85516771050482
"Carruthers, Lucy Marston - U Arizona",372,149.7107611362657
"Hagen, Scott Charles - U Central Florida",371,24.7176224244029
"Qiao, Bin - UC San Diego",368,24.05095905017717
"Riley, Pete - Predictive Science",367,22.08631156116701
"Ferrante, Antonino - U Washington",366,32.19382359071973
"Burton, Zachary F - Michigan State U",363,7.352743990219206
"Mitas, Lubos - NC State U",363,17.96321928250658
"Guvench, Olgun - U New England",361,25.760166250585122
"French, Kinsley Claire - RPI",358,25.329548078193245
"Asle Zaeem, Mohsen - Missouri S&T",356,9.570113649725426
"Scharfenberg, Buddy - Missouri S&T",356,41.77581730555821
"Cessi, Paola - SIO",355,25.654624797779427
"Giacomazzo, Bruno - U Trento",353,16.690730103993502
"Gibou, Frederic - UC Santa Barbara",351,24.858331910236494
"Carrington, Laura - UC San Diego",350,20.77205070301211
"Cormier, Guy - U Georgia",350,47.376192801084905
"Lyra, Wladimir - Caltech",349,18.008966689782792
"Uzun, Ali - Florida State U",346,21.373523367193624
"Jakowski, Jacek - U Tennessee",345,15.608666844996904
"LeBard, David - Yeshiva U",338,3.5220545022438943
"Hawley, John F. - U Virginia",337,23.413099049120593
"Hong, Han  - Stanford U",337,61.8454461681952
"Hand, Brian K - U Montana",336,217.37130839714268
"Pellman, David Steven - Dana-Farber Cancer Inst",336,24.793994988706434
"Zhou, Z. Hong - UCLA",336,18.659014392455898
"Cicotti, Pietro - SDSC",334,21.876118049734828
"Wilcox, Jennifer - Stanford U",332,27.357316639817526
"Abernathey, Ryan - Columbia U",328,33.296923098147715
"Volkov, Alexey N. - U Alabama",325,30.82718498557735
"Zhu, Ping - U Wisconsin-Madison",324,44.17550562003289
"Henderson, Shane G - Cornell U",323,27.64715589006508
"Zalucha, Angela - SETI Inst",318,7.053465441951643
"Fuentes-Cabrera, Miguel Angel - U Tennessee",317,19.197242038082834
"Marinshaw, Ruth - Stanford U",317,26.55015080106795
"Gao, Wei  - Northwestern U",316,65.65325477224988
"Johnson, Harley T. - UIUC",316,28.797757114432113
"Norman, Michael L. - UC San Diego",316,19.822746721198495
"Eshraghi Kakhki, Mohsen - CSU-Los Angeles",307,85.51958137116233
"Farhi, Moran  - UC Davis",304,30.42284568829768
"Gumbart, James - Georgia Tech",304,9.408821643562149
"Kiser, Eric Daniel - Rice U",304,19.016337548276745
"Kogut, John B. - U Maryland",303,10.580252066075353
"Lower, Steven K - Ohio State U",303,91.67576121044813
"Apte, Sourabh V - Oregon State U",302,18.6970029169806
"Indiviglio, Frank M - NOAA",302,25.90019906023484
"Ceperley, David M - UIUC",299,14.182627239324487
"Kushnir, Doron - Institute for Advanced Study",298,10.85274321388606
"Reutt-Robey, Janice Ellen - U Maryland",298,4.067495350341046
"Smith, Aaron Robin - UT Austin",298,42.52850321858398
"Leschziner, Andres E - Harvard U",296,9.451507329992081
"Zheng, Lianyuan - U South Florida",296,14.467495789317073
"Zou, Jian - IUPUI",296,29.680972300816606
"Humphrey, Jay Dowell - Yale U",294,51.41938809334458
"Pirkelbauer, Peter  - U Alabama, Birmingham",293,18.19090174154954
"Shim, Joong-Youn - NC Central U",288,0
"Bucher, Denis - UC San Diego",286,112.18036066166576
"Johnson, Steven G - MIT",285,35.89062554106462
"Luthey-Schulten, Zaida - UIUC",285,20.728662132950046
"Bykhovskaia, Maria - Central U Caribbean",284,18.623236188570132
"Roskies, Ralph - PSC",284,39.642713638581334
"Hopkins, Philip F - Caltech",283,17.924806624214447
"Towns, John W. - UIUC",280,45.90728997525953
"Mendez Polanco, Miguel Angel - MIT",279,5.157365370383045
"Diaz, Javier - Rutgers U",278,40.699612742430304
"Jin, Meng - UCAR",278,21.005211988147877
"Aksimentiev, Aleksei - UIUC",277,13.305202124539923
"Jagota, Anand - Lehigh U",275,18.75266369973936
"Cuma, Martin - U Utah",273,17.176537880111958
"Morris, Mark - UCLA",272,35.327043465311384
"Nikolic, Branislav - U Delaware",272,12.817428259161565
"Robia, Seth Louis - Loyola U Chicago",272,86.57759525419957
"Tchekhovskoy, Alexander - UC Berkeley",271,28.648401252027803
"Lecoanet, Daniel - UC Berkeley",270,34.08476099592524
"Pisciuneri, Patrick - U Pittsburgh",268,42.366415051175636
"Pueschel, Moritz J - U Wisconsin-Madison",268,15.86449555862497
"Boylan-Kolchin, Michael  - U Maryland",267,16.21219661246601
"Najafi-Yazdi, Alireza - McGill U",267,49.50049756583448
"Panoff, Robert M - Shodor",267,38.605034882218426
"Zarif-Khalili-Yazdani, Alireza - Brown U",266,5.386402147462742
"Bhattacharya, Apratim - Andritz Automation",265,13.068851941638925
"Lyman, Edward - U Delaware",264,18.479810226223353
"O'Leary, Ryan - UC Berkeley",264,10.151290314395808
"Yilmaz, Ali - UT Austin",264,12.114375739371518
"Fan, Shanhui - Stanford U",262,4.4907237103623086
"Kaznessis, Yiannis N. - U Minn",260,5.9339972568485235
"Khelashvili, George - Weill Cornell Med College",260,0.44813866446999034
"Lobo, Daniel - Tufts U",260,2.7846605238535087
"Pan, Tongyan  - IIT",260,31.165793136764098
"da Silveira, Pedro Rodrigo Castro - U Minn",260,14.933928437592597
"Adrian, Ronald John - Arizona State U",259,48.992849259706624
"Berlind, Andreas - Vanderbilt U",259,15.101108302698815
"Scheraga, Harold A. - Cornell U",258,22.421930898862747
"Dempski, Robert E - WPI",256,0
"Johner, Niklaus B - Weill Cornell Med College",256,0
"Kane, Michael John - Yale U",256,0
"Lambert, Lixia He - U Tennessee",256,73.32121111929344
"Lazzati, Davide  - Oregon State U",256,0
"Mondal, Sayan - Weill Cornell Med College",256,0
"Kammel, Peter - U Washington",255,12.137201097697641
"Moreno, Juana - Louisiana State U",253,5.227125246728516
"Bretherton, Christopher Stephen - U Washington",252,30.161846342995045
"Brooks, Charles L - U Michigan",252,5.6622653080543905
"Perez-Aguilar, Jose Manuel - Weill Cornell Med College",252,1.8623388480013228
"Hempel, Chris - UT Austin",251,27.932470430512158
"Wiens, Douglas A - Washington U",249,32.520189648771144
"Kaiser, Hartmut - Louisiana State U",248,16.468150243128783
"Pillepich, Annalisa  - Harvard U",248,13.389067747059903
"Zhang, Chengzhu - SIO",248,22.84860886025672
"Johnsen, Eric - U Michigan",247,13.528115957898212
"Morse, David - U Minn",247,9.963970293884135
"Yoon, Chamna - CUNY",245,7.865493245817466
"Douma, Michael - IDEA",240,31.90114587850532
"Katzenellenbogen, John A - UIUC",240,0
"Pretorius, Frans - Princeton U",240,4.293914194186171
"Marcus, Philip Stephen - UC Berkeley",237,3.203201717638967
"Wang, Binghe - Georgia State U",237,18.21471932256985
"ferreira, celso moller - George Mason U",237,7.641277067014166
"Weinstein, Harel - Weill Cornell Med College",236,2.4682463718561234
"Meyer, Randall - U Illinois, Chicago",235,4.627864612500529
"Sur, Sharanya - Arizona State U",234,7.392564372373653
"Dawson, Clinton N - UT Austin",233,9.134051460237227
"Khaldi, Dounia - U Houston",232,30.96830686266433
"Shubert, Richard H. - Inst for Fundamental Sci",232,25.78743383898444
"Lazarian, Alex - U Wisconsin-Madison",230,94.61440493393444
"Smith, Cameron Walter - RPI",230,16.33388901381969
"zheng, xiaoning  - MIT",229,6.093094152624763
"Chan, Maria - ANL",228,11.567231694179913
"Liebling, Steven - Long Island U",228,5.29193960467823
"Dick, Robert Alfred - Cornell U",226,15.421543372827498
"Tobias, Douglas J. - UC Irvine",225,4.4596326898110465
"Offner, Stella S - U Mass, Amherst",224,6.979018306476897
"Klie, Robert F - U Illinois, Chicago",222,2.061778967503224
"Zhu, Zhaohuan - Princeton U",222,20.638346024567593
"Ong, Benjamin - Michigan Tech",221,64.820153839296
"Becker, Andrew - U Washington",220,37.17962006473324
"Kim, Ji-hoon - Caltech",219,5.979926404260135
"Moehlis, Jeff - UC Santa Barbara",219,22.562082677158088
"Landau, David P - U Georgia",218,20.284171126731614
"Takhar, Pawan Singh - UIUC",218,56.64165722622647
"Dickens, Phillip Mathew - U Maine",217,26.47813621594739
"Snir, Marc - UIUC",217,14.791149458245698
"Cann, Isaac K O - UIUC",215,8.63066892265979
"Chiu, Wah - Baylor College of Med",215,22.807148030648268
"Hall, David Matthew - CU Boulder",215,6.3351724673530425
"Natarajan, Aravind - CMU",214,22.470039088273424
"Boudker, Olga - Weill Cornell Med College",213,6.681128316738578
"Mehringer, Susan - Cornell U",213,21.923279564522588
"Brannigan, Grace - Rutgers U",212,6.781010239980262
"Kibalchenko, Mikhail - UCLA",212,19.570863049406743
"Misra, Vasubandhu - Florida State U",212,2.8997640257100614
"Park, Kyungwha - Virginia Tech",212,7.358028255060426
"Lin, Kan-Ju - MIT",211,1.6024069875072522
"Zeng, Yong - U Missouri, Kansas City",211,50.24250875287429
"Kim, John - UCLA",209,3.9179488929359336
"Madura, Jeffry D. - Duquesne U",209,5.767257133478005
"Wang, Yang - CMU",209,2.974376308469845
"Mastorakos, Ioannis  - Clarkson U",208,72.14799604516632
"Work, Daniel  - UIUC",208,72.94747734107577
"Laguna, Pablo - Georgia Tech",207,4.073524235767773
"Winters, Kraig - UC San Diego",207,19.18153187567611
"Doubleday, Charles - Columbia U",206,4.939730109796253
"El-Awady, Jaafar A - Johns Hopkins U",206,9.490779143343515
"Huang, Kerwyn Casey - Stanford U",206,19.46401397329502
"Lele, Sanjiva K - Stanford U",206,19.303648982450856
"Navarro, Rafael - UC San Diego",206,30.36998049737756
"Levine, Benjamin G - Michigan State U",205,13.657900283868944
"Liu, Lijun - UIUC",204,5.2498691492777745
"Samimi, Alireza - U Utah",204,6.65569952424051
"Diener, Peter - Louisiana State U",203,6.65131253676551
"Xing, Haipeng  - SUNY Stony Brook",202,44.49026344764493
"Bodony, Daniel Joseph - UIUC",200,5.940141097576442
"Cooper, Catherine Marguerite - Washington State U",200,8.22369078923413
"Greif, Thomas - Harvard U",198,21.31538993533848
"Al-Saidi, Wissam Abdo - U Pittsburgh",197,2.6089924039915116
"Im, Hong G - U Michigan",197,15.988032633817083
"Kutana, Alex - Rice U",197,25.576285312527627
"Friedline, Christopher James - Virginia Commonwealth U",196,82.80278225121126
"Portegys, Tom - OpenWorm",196,16.651371362312247
"Pritchard, Michael - UC Irvine",195,13.470048480182855
"Ashour-Abdalla, Maha - UCLA",194,16.85930596068926
"Le, Duy - U Central Florida",194,3.9614107641123497
"Rempfer, Dietmar - IIT",194,8.001871525878597
"Richard, Ryan Matthew - Georgia Tech",192,24.007602176015723
"Seifu, Dereje  - Morgan State U",192,26.127890589687237
"Shaw, John Edward - NW Missouri State U",192,24.343224778007382
"Smith, Paul E - Kansas State U",192,0
"Teich-McGoldrick, Stephanie Leah - Sandia",192,3.4349655946662554
"Mittal, Rajat - Johns Hopkins U",191,4.4862385381552645
"Morningstar, Colin - CMU",191,0.9814818684489857
"Makhatadze, George I - RPI",190,7.575007134324795
"Muller, Michael - Southwest Res Inst",190,48.060769594901295
"li, yaping  - U Tulsa",190,2.553138956076786
"Niemann, Christoph - UCLA",189,13.536401161157675
"Fragile, Patrick C - College of Charleston",188,4.761644540565967
"Tajkhorshid, Emad - UIUC",188,2.8605758019887255
"Saltz, Joel H - SUNY Stony Brook",187,8.968002222040768
"Khanna, Gaurav - U Mass, Dartmouth",186,17.561669902071273
"Terrill, Judith Ellen - NIST",186,17.949062148201506
"Bartschat, Klaus - Drake U",185,4.194603208962437
"Pongkitiwanichakul, Peera - U Chicago",185,4.205742407478404
"Kimber, Mark - U Pittsburgh",184,9.80432348774053
"Sarma, Jayshree - George Mason U",184,21.871385696969273
"Sperhake, Ulrich - Caltech",184,5.833028916660259
"Su, Shiquan - NICS",184,7.272282075462593
"Tenishev, Valeriy - U Michigan",184,13.66436926421217
"Bahar, Ivet - U Pittsburgh",183,15.272919708318398
"Marcello, Dominic - Louisiana State U",182,31.9953558985556
"Raeymaekers, Bart  - U Utah",182,12.901811918907358
"Del Vento, Davide - NCAR",181,78.51583279823248
"Chen, Hanning - George Washington U",179,1.9681565362304498
"Sharma, Anupam - Iowa State U",179,13.447196110036073
"Xuan, Yuan  - Penn State U",179,42.529401526122925
"Zhang, Fuqing - Penn State U",179,1.4125570444521618
"Bromm, Volker - UT Austin",178,6.783069174896275
"Moser, Robert - UT Austin",178,93.84609943428889
"Jiang, Shaoyi - U Washington",177,7.74319400149659
"Key, Jason M - Harvard Med Sch",176,12.118610269773509
"Li, Lan - Boise State U",176,12.644733028277088
"Sumner, Isaiah Charles - James Madison U",176,11.431379617183673
"Tafur, Sergio - U Central Florida",176,53.34846654876112
"Wilson, Robert E - SUNY Stony Brook",176,13.817416246735032
"Barone, Veronica  - Central Michigan U",175,7.9707596332846045
"Vanderpool, Daniel D - U Montana",174,36.96095236868227
"Srinivasan, Ashok - Florida State U",173,17.64840834870028
"Yang, Yuan - MIT",173,50.00674807688116
"Buck, Matthias - CWRU",172,1.8359170666312101
"Baron, Riccardo - U Utah",171,5.7376916895215135
"Cuendet, Michel Alain - Weill Cornell Med College",171,16.57464177591781
"Rai, Neeraj - Mississippi State U",171,21.93332226774533
"Garcia, Angel E - RPI",170,3.661626669795614
"Burns, Keaton - MIT",169,6.728745476134317
"Gelernter, Judith - CMU",169,24.61422871940568
"Jack, Mark A - Florida A&M U",168,61.56247831235932
"Smith, Britton D - U Edinburgh",167,16.056677375813763
"Lieuwen, Timothy Charles - Georgia Tech",165,29.5586183592978
"McWilliams, James C. - UCLA",165,3.101547431417231
"Quataert, Eliot - UC Berkeley",165,13.166065620515175
"Babaee, Hessam - MIT",164,2.892955214337505
"Klein, Richard I. - UC Berkeley",162,1.8191930952947215
"Huggett, Mark - Georgetown U",160,0.1216031932922903
"Miao, Yinglong - HHMI",159,13.545345547916407
"Duan, Lian - Missouri S&T",158,7.275097755566804
"White, Stephen H. - UC Irvine",158,7.038598710128442
"Martins, Joaquim - U Michigan",157,4.015454425665633
"Viswanath, Divakar - U Michigan",157,30.59882643853788
"Karanicolas, John - U Kansas",156,4.378601393586997
"Kashi, Amit - U Minn",155,10.270844787591095
"Zhang, Joseph Yinglong - Va Inst of Marine Sci",155,5.208465308793145
"Ferguson, James - NICS",153,19.94633051375778
"Sweeney, Alison M - U Pennsylvania",153,6.856449378630308
"Ertekin, Elif - UIUC",152,16.093396031706092
"Silvia, Devin W - Michigan State U",152,21.163588479964467
"Trouve, Arnaud Christophe - U Maryland",152,14.43346209759265
"Wang, Xuguang - U Oklahoma",152,1.8361960221580964
"Myong, Sua - UIUC",151,24.130684797959667
"sansoz, frederic - U Vermont",151,6.4097707899776
"Kosar, Tevfik - SUNY Buffalo",150,27.52894967889855
"Lousto, Carlos - RIT",150,4.008104319781022
"Blume, Doerte - Washington State U",149,9.008189053687985
"Keres, Dusan - UC San Diego",149,16.66313803459087
"Hill, David Foster - Oregon State U",148,6.5798161259824
"Oskooi, Ardavan  - U Michigan",147,4.539848259823472
"Roux, Benoit - U Chicago",147,1.3860822013247174
"Sant, Gaurav N - UCLA",147,3.320644236862292
"Arolla, Sunil - Cornell U",146,41.3130900182821
"Chen, Feng - TACC",146,17.277983515792393
"Elgamal, Ahmed - UC San Diego",146,22.07176640530706
