title
"Job Size: Max (Core Count): by PI"
parameters

start,end
2014-05-15,2015-05-14
---------
PI,"Job Size: Max (Core Count)"
"Bishop, Thomas C - Louisiana Tech",3840
"Jin, Guangxu  - Wake Forest Sch of Med",3840
"Sinha, Manodeep - Vanderbilt U",3840
"Michalakes, John George - NOAA",3760
"Martins, Joaquim - U Michigan",3680
"Condron, Alan - U Mass, Amherst",3616
"Bai, Xuening - Smithsonian Astrophys Obs",3600
"Fang, Fang - NCAR",3600
"Uzun, Ali - Florida State U",3600
"Sheikhi, Reza H - Northeastern U",3520
"Abraham, John - Purdue U",3456
"Liang, Zhi - RPI",3456
"Holley-Bockelmann, Kelly - Vanderbilt U",3360
"Dalcanton, Julianne - U Washington",3312
"Fields, Aaron J - UC San Francisco",3200
"Fuentes-Cabrera, Miguel Angel - U Tennessee",3200
"Hart, David Lawrence - NCAR",3200
"Velikokhatnyi, Oleg I - U Pittsburgh",3200
"Toomre, Juri - CU Boulder",3152
"Zhigilei, Leonid - U Virginia",3152
"Kaxiras, Efthimios - Harvard U",3136
"Greenbaum, Anne - U Washington",3072
"Madison, Don - Missouri S&T",3072
"Qiao, Bin - UC San Diego",3072
"Hand, Brian K - U Montana",2944
"Moore, Shirley Victoria - UT El Paso",2880
"Shea, Joan-Emma - UC Santa Barbara",2816
"Zhu, Ping - U Wisconsin-Madison",2816
"Dennis, John Mauff - NCAR",2704
"Mazloff, Matthew R. - SIO",2688
"Kogut, John B. - U Maryland",2592
"Blanquart, Guillaume - Caltech",2560
"Chen, Ru - SIO",2560
"Griesel, Alexa - SIO",2560
"Klein, Michael - Temple U",2560
"Kral, Petr - U Illinois, Chicago",2560
"Lousto, Carlos - RIT",2560
"Mittal, Jeetain - Lehigh U",2560
"Zhu, Zhaohuan - Princeton U",2560
"Buehler, Markus J - MIT",2400
"Jaberi, Farhad A - Michigan State U",2400
"Lu, Hui - U Illinois, Chicago",2400
"Moldwin, Mark B - U Michigan",2400
"Gilmore, Matthew - U North Dakota",2304
"Radko, Timour - Naval Postgrad School",2304
"Van de Walle, Chris G. - UC Santa Barbara",2304
"Detmold, William - MIT",2160
"Howison, Mark - Brown U",2128
"Case, David A - Rutgers U",2112
"Vaughn, Matthew W - TACC",2112
"Adrian, Ronald John - Arizona State U",2048
"Alexander-Katz, Alfredo - MIT",2048
"Anderson, Steven Edward - Texas A&M",2048
"Baden, Scott B. - UC San Diego",2048
"Baptista, Antonio  - Oregon Health & Sci U",2048
"Baron, Riccardo - U Utah",2048
"Bretherton, Christopher Stephen - U Washington",2048
"Bromm, Volker - UT Austin",2048
"Bryan, Greg L. - Columbia U",2048
"Bylander, Daniel Martin - Texas State U",2048
"Chang, Philip - U Wisconsin-Milwaukee",2048
"Childers, Greg - CSU-Fullerton",2048
"De Zorzi, Rita - Harvard Med Sch",2048
"Debenedetti, Pablo G - Princeton U",2048
"Duan, Huaiyu - U New Mexico",2048
"Elgamal, Ahmed - UC San Diego",2048
"Etienne, Zachariah B - West Virginia U",2048
"Falkingham, Peter Lewis - Brown U",2048
"Frank, Adam - U Rochester",2048
"Frebel, Anna - MIT",2048
"Gao, Huajian - Brown U",2048
"Gayler, Dick - Kennesaw State U",2048
"Gomez, Facundo A - Michigan State U",2048
"Helly, John J - UC San Diego",2048
"Huang, Kerwyn Casey - Stanford U",2048
"Kaplinghat, Manoj - UC Irvine",2048
"Karna, Tuomas Petteri - Oregon Health & Sci U",2048
"Klein, Richard I. - UC Berkeley",2048
"Koziol, Quincey A - HDF Group",2048
"Lazarian, Alex - U Wisconsin-Madison",2048
"Lesage, Anne-Cecile - Texas Tech U",2048
"Liang, Bo - Harvard Med Sch",2048
"Loth, Francis - U Akron",2048
"Lower, Steven K - Ohio State U",2048
"Malaspina, David Cesar - Northwestern U",2048
"Marsden, Alison Lesley - UC San Diego",2048
"Mittal, Rajat - Johns Hopkins U",2048
"Narayanan, Desika - Haverford College",2048
"Oleynik, Ivan - U South Florida",2048
"Onuchic, Jose - Rice U",2048
"Pritchard, Michael - UC Irvine",2048
"Pritchett, Philip L. - UCLA",2048
"Ramaprabhu, Praveen Kumar - UNC Charlotte",2048
"Saven, Jeffery G - U Pennsylvania",2048
"Shapiro, Stuart L. - UIUC",2048
"Shi, Yunfeng - RPI",2048
"Sumner, Isaiah Charles - James Madison U",2048
"Terry, Paul W - U Wisconsin-Madison",2048
"Velazquez, Leticia  - Rice U",2048
"Wang, Xianqiao - U Georgia",2048
"Winters, Kraig - UC San Diego",2048
"Xia, Qian - U Wisconsin-Madison",2048
"Zarif-Khalili-Yazdani, Alireza - Brown U",2048
"Agrawal, Rajendra K - SUNY Albany",2032
"Ashour-Abdalla, Maha - UCLA",2016
"Kolasny, Anthony - Johns Hopkins U",2016
"Miller, Michael I - Johns Hopkins U",2016
"Guo, X Edward - Columbia U",2000
"Wang, Yang - CMU",2000
"Whited, Toni M - U Rochester",2000
"Xing, Haipeng  - SUNY Stony Brook",2000
"Cheatham, Thomas E. - U Utah",1920
"Facelli, Julio C - U Utah",1920
"Morse, David - U Minn",1920
"Hauptmann, Alexander - CMU",1904
"Kirschner, Denise - U Michigan",1808
"Takhar, Pawan Singh - UIUC",1760
"Lyra, Wladimir - Caltech",1728
"Pisciuneri, Patrick - U Pittsburgh",1728
"Woolf, Thomas B - Johns Hopkins U",1728
"Ivanov, Ivaylo - Georgia State U",1696
"Biringen, Sedat - CU Boulder",1680
"Subramanian, Aneesh - SIO",1664
"Pamidighantam, Sudhakar V. - UIUC",1648
"Roux, Benoit - U Chicago",1632
"Basheer, Ershaad Ahamed - Temple U",1600
"Friedline, Christopher James - Virginia Commonwealth U",1600
"Hasenfratz, Anna - CU Boulder",1600
"Lele, Sanjiva K - Stanford U",1600
"Motamarri, Phani - U Michigan",1600
"Olson, Lorraine G. - Rose-Hulman Tech",1600
"Tenishev, Valeriy - U Michigan",1600
"Trouve, Arnaud Christophe - U Maryland",1600
"Wang, Daniel Q. - U Mass, Amherst",1600
"Zhang, Shiwei  - College of Wm & Mary",1600
"Feig, Michael - Michigan State U",1536
"Pueschel, Moritz J - U Wisconsin-Madison",1536
"Ruan, Youyi - Brown U",1536
"Tafur, Sergio - U Central Florida",1536
"Yang, Li - Washington U",1536
"Zeng, Yong - U Missouri, Kansas City",1536
"Chen, Alan Austin - SUNY Albany",1472
"Barth, Patrick - Baylor College of Med",1440
"Bullock, James S - UC Irvine",1440
"Fraser, Hunter B - Stanford U",1440
"Zhu, Cheng - Georgia Tech",1440
"Engel, Jonathan H - UNC",1424
"Artrith, Nongnuch - - MIT",1376
"Ramm, Alexander G. - Kansas State U",1360
"Gasper, Paul M - SUNY Albany",1312
"Gilson, Michael - UC San Diego",1280
"Matysiak, Silvina - U Maryland",1280
"Romero, Aldo Humberto - West Virginia U",1280
"Sotomayor, Marcos - Ohio State U",1280
"Yan, Jingwen - IUPUI",1280
"Zgid, Dominika Kamila - U Michigan",1280
"Zhang, Yang - NC State U",1280
"Li, Jessie - Stanford U",1216
"Marinshaw, Ruth - Stanford U",1200
"Sweeney, Alison M - U Pennsylvania",1200
"Viswanath, Divakar - U Michigan",1200
"Beckstein, Oliver - Arizona State U",1184
"Kammel, Peter - U Washington",1164
"Filizola, Marta - Mt Sinai Sch of Med",1152
"Tichy, Wolfgang - Florida Atlantic U",1152
"Triant, Deborah - U Virginia",1152
"Francoeur, Mathieu - U Utah",1120
"Hill, David Foster - Oregon State U",1092
"Ranganathan, Srivathsan V - SUNY Albany",1088
"McKenna, Frank - UC Berkeley",1040
"Monismith, David Richard - NW Missouri State U",1040
"von Oehsen, James Barr - Clemson U",1040
"Alexandrova, Anastassia - UCLA",1024
"Aller, Stephen G - U Alabama, Birmingham",1024
"Aluru, Narayana R - UIUC",1024
"Aspuru-Guzik, Alan - Harvard U",1024
"Babaee, Hessam - MIT",1024
"Balick, Bruce -- - U Washington",1024
"Bhaganagar, Kiran - UT San Antonio",1024
"Billington, Sarah L - Stanford U",1024
"Blume, Doerte - Washington State U",1024
"Boylan-Kolchin, Michael  - U Maryland",1024
"Brunner, Robert J. - UIUC",1024
"Bucher, Denis - UC San Diego",1024
"Burns, Keaton - MIT",1024
"Campbell, Robert Lee - Penn State Behrend",1024
"Carruthers, Lucy Marston - U Arizona",1024
"Chan, Maria - ANL",1024
"Chen, Hanghui - Columbia U",1024
"Chen, Hanning - George Washington U",1024
"Cicotti, Pietro - SDSC",1024
"Collins, David - Florida State U",1024
"Cormier, Guy - U Georgia",1024
"Cui, Shengting - U Tennessee",1024
"Cuma, Martin - U Utah",1024
"DAloisio, Anson - U Washington",1024
"Del Maestro, Adrian - U Vermont",1024
"Demeler, Borries - UT Hlth Sci Ctr San Antonio",1024
"Desinghu, Balamurugan - U Chicago",1024
"Dibble, Theodore S. - SUNY ESF",1024
"Douma, Michael - IDEA",1024
"Dutt, Shantanu  - U Illinois, Chicago",1024
"Ebrahimi, Davoud - MIT",1024
"Einstein, Theodore L - U Maryland",1024
"Ertekin, Elif - UIUC",1024
"Eshraghi Kakhki, Mohsen - CSU-Los Angeles",1024
"Falgout, Jeff - USGS",1024
"Feigenson, Gerald W - Cornell U",1024
"Ferguson, James - NICS",1024
"Ghaffari, Noushin - Texas A&M",1024
"Giacomazzo, Bruno - U Trento",1024
"Gopalakrishnan, Ganesh L - U Utah",1024
"Grabe, Michael - UC San Francisco",1024
"Gubbins, David - SIO",1024
"Guenza, Marina - U Oregon",1024
"Hampton, Scott S. - U Notre Dame",1024
"Henderson, Shane G - Cornell U",1024
"Hills, Matthew - U Utah",1024
"Hong, Han  - Stanford U",1024
"Hong, Sampyo - U Central Florida",1024
"Hu, Chi Yu - CSU-Long Beach",1024
"Hummels, Cameron - U Arizona",1024
"Humphrey, Jay Dowell - Yale U",1024
"Huo, Pengfei - Caltech",1024
"Huwe, Peter - U Pennsylvania",1024
"Kandemir, Mahmut Taylan - Penn State U",1024
"Kashi, Amit - U Minn",1024
"Keten, Sinan - Northwestern U",1024
"Kim, Hyojin - Harvard Med Sch",1024
"Kim, John - UCLA",1024
"Kolpak, Alexie - MIT",1024
"Kritsuk, Alexei - UC San Diego",1024
"Langer, Robert Samuel - MIT",1024
"Larkins, Brian - Coastal Carolina U",1024
"Le, Duy - U Central Florida",1024
"Lewis, Nathan Enoch - UC San Diego",1024
"Li, Zongli - Harvard Med Sch",1024
"Lieuwen, Timothy Charles - Georgia Tech",1024
"Lin, Ching-long - U Iowa",1024
"Liu, Xiaofeng - Penn State U",1024
"Luo, Haoxiang - Vanderbilt U",1024
"Lyman, Edward - U Delaware",1024
"Maliar, Serguei - Stanford U",1024
"Marcus, Philip Stephen - UC Berkeley",1024
"Marrocchelli, Dario - MIT",1024
"Mason, Sara E. - U Iowa",1024
"McCarthy, John M - UC Irvine",1024
"Mehringer, Susan - Cornell U",1024
"Mellor-Crummey, John Michael - Rice U",1024
"Moser, Robert - UT Austin",1024
"Mura, Cameron - U Virginia",1024
"Najafi-Yazdi, Alireza - McGill U",1024
"Natarajan, Aravind - CMU",1024
"Navarro, Rafael - UC San Diego",1024
"Niemann, Christoph - UCLA",1024
"Notaros, Branislav  - Colorado State U",1024
"Oh, Siang Peng - UC Santa Barbara",1024
"Paesani, Francesco - UC San Diego",1024
"Palsson, Bernhard - UC San Diego",1024
"Pan, Tongyan  - IIT",1024
"Parry, Owen - U Maryland",1024
"Pederson, Mark R - US DoE",1024
"Pillepich, Annalisa  - Harvard U",1024
"Pongkitiwanichakul, Peera - U Chicago",1024
"Pretorius, Frans - Princeton U",1024
"Puzyrev, Yevgeniy - Vanderbilt U",1024
"Quataert, Eliot - UC Berkeley",1024
"Reichman, David - Columbia U",1024
"Reutt-Robey, Janice Ellen - U Maryland",1024
"Richard, Ryan Matthew - Georgia Tech",1024
"Robia, Seth Louis - Loyola U Chicago",1024
"Samimi, Alireza - U Utah",1024
"Sant, Gaurav N - UCLA",1024
"Sarkar, Sutanu - UC San Diego",1024
"Sarma, Jayshree - George Mason U",1024
"Sewell, Christopher Meyer - LANL",1024
"Silvia, Devin W - Michigan State U",1024
"Smith, Aaron Robin - UT Austin",1024
"Su, Shiquan - NICS",1024
"Suter, Robert M. - CMU",1024
"Tarboton, David Gavin - Utah State U",1024
"Thakur, Bhupender - Louisiana State U",1024
