title
"Number of Jobs Ended"
parameters

start,end
"Std Dev: XD SUs Charged: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Std Dev: XD SUs Charged: Per Job"
2015-03-01,140.6544594572231
2015-03-02,133.85616318766503
2015-03-03,74.61286843528212
2015-03-04,114.78181005923432
2015-03-05,138.99471605651743
2015-03-06,86.11619372919326
2015-03-07,120.61420180351935
2015-03-08,223.21818678398498
2015-03-09,81.96598950376364
2015-03-10,87.83289175537143
2015-03-11,100.21071095418203
2015-03-12,107.3108617746278
2015-03-13,110.57073566994002
2015-03-14,337.61649263893474
2015-03-15,275.7038431600278
2015-03-16,204.3716039026225
2015-03-17,131.81215882443314
2015-03-18,118.68458915541268
2015-03-19,150.04053234147318
2015-03-20,121.68323311213318
2015-03-21,156.35414583230553
2015-03-22,175.3994955192846
2015-03-23,137.67743858823292
2015-03-24,144.32619821267104
2015-03-25,121.11146676705408
2015-03-26,483.5932382894851
2015-03-27,223.86464778450022
2015-03-28,293.22861558624356
2015-03-29,201.28024511357052
2015-03-30,105.68621257249254
2015-03-31,74.89386473217681
---------
title
"NUs Charged: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] NUs Charged: Per Job","[XSEDE] Std Err of NUs Charged: Per Job"
2015-03-01,39585.9820624,3034.760617249046
2015-03-02,31654.8859412,2888.080576937061
2015-03-03,25195.9531088,1609.847249359647
2015-03-04,32348.2517667,2476.53233383804
2015-03-05,34031.3739704,2998.94999363542
2015-03-06,30095.0143799,1858.0429959010737
2015-03-07,32010.0935240,2602.3720181127337
2015-03-08,55278.5772406,4816.15559805126
2015-03-09,31469.3825961,1768.4981895332044
2015-03-10,29442.2782636,1895.0824725138941
2015-03-11,29062.7769822,2162.1462995474317
2015-03-12,33475.0672169,2315.3391536493696
2015-03-13,35636.8202145,2385.674192814626
2015-03-14,50632.7581044,7284.413445177656
2015-03-15,46114.5835764,5948.58612002076
2015-03-16,42557.6522894,4409.521725802983
2015-03-17,37597.2449360,2843.9791387959694
2015-03-18,33658.7399818,2560.738695617184
2015-03-19,34335.5231786,3237.2745257996253
2015-03-20,34675.0706401,2625.4374376273854
2015-03-21,45231.8880237,3373.4970504778244
2015-03-22,45002.4758059,3784.419515324085
2015-03-23,37275.5676100,2970.5284149797135
2015-03-24,39086.2629135,3113.9820526365907
2015-03-25,30424.9494206,2613.1010069659587
2015-03-26,42503.8331786,10434.007709333931
2015-03-27,44554.8834131,4830.103640598377
2015-03-28,42084.3169125,6326.700609888791
2015-03-29,49452.6433485,4342.822568570397
2015-03-30,32625.7387526,2280.285722464099
2015-03-31,20755.4467667,1615.9100254614468
---------
title
"Std Dev: NUs Charged: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Std Dev: NUs Charged: Per Job"
2015-03-01,3034.760617249046
2015-03-02,2888.080576937061
2015-03-03,1609.847249359647
2015-03-04,2476.53233383804
2015-03-05,2998.94999363542
2015-03-06,1858.0429959010737
2015-03-07,2602.3720181127337
2015-03-08,4816.15559805126
2015-03-09,1768.4981895332044
2015-03-10,1895.0824725138941
2015-03-11,2162.1462995474317
2015-03-12,2315.3391536493696
2015-03-13,2385.674192814626
2015-03-14,7284.413445177656
2015-03-15,5948.58612002076
2015-03-16,4409.521725802983
2015-03-17,2843.9791387959694
2015-03-18,2560.738695617184
2015-03-19,3237.2745257996253
2015-03-20,2625.4374376273854
2015-03-21,3373.4970504778244
2015-03-22,3784.419515324085
2015-03-23,2970.5284149797135
2015-03-24,3113.9820526365907
2015-03-25,2613.1010069659587
2015-03-26,10434.007709333931
2015-03-27,4830.103640598377
2015-03-28,6326.700609888791
2015-03-29,4342.822568570397
2015-03-30,2280.285722464099
2015-03-31,1615.9100254614468
---------
title
"CPU Hours: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] CPU Hours: Per Job","[XSEDE] Std Err of CPU Hours: Per Job"
2015-03-01,403.65747337,30.729365750084863
2015-03-02,322.27073607,29.180064547543864
2015-03-03,258.34020254,16.411195202446535
2015-03-04,323.55362212,25.012035096857165
2015-03-05,332.99565387,30.055123257937844
2015-03-06,289.83080507,18.37606866983802
2015-03-07,308.99575477,25.625495182542053
2015-03-08,531.75685520,47.31393152454795
2015-03-09,323.31529443,18.499296241839776
2015-03-10,317.40894847,19.56645220803881
2015-03-11,298.25173756,21.85126667493205
2015-03-12,340.95996101,23.539945795420632
2015-03-13,358.44146314,24.153001947605784
2015-03-14,500.16626714,73.37331784705187
2015-03-15,433.85249941,59.43609701859339
2015-03-16,422.00506789,44.348299534716325
2015-03-17,386.82730409,28.73978563116992
2015-03-18,352.02349030,25.92029364346016
2015-03-19,360.84906835,32.79714364077276
2015-03-20,359.75007272,26.804098171984588
2015-03-21,468.22463626,34.41017732538996
2015-03-22,478.95794235,38.47907780313896
2015-03-23,391.23279721,30.086394717535438
2015-03-24,406.01871326,31.6865688479897
2015-03-25,312.13186072,26.471442448759902
2015-03-26,425.96992098,105.19181150728518
2015-03-27,456.43131972,48.797749857598724
2015-03-28,411.90755822,63.66092626033125
2015-03-29,498.27400019,46.36966064571254
2015-03-30,336.20210891,23.63496374683232
2015-03-31,225.75415609,29.593836179356117
---------
title
"Std Dev: CPU Hours: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Std Dev: CPU Hours: Per Job"
2015-03-01,30.729365750084863
2015-03-02,29.180064547543864
2015-03-03,16.411195202446535
2015-03-04,25.012035096857165
2015-03-05,30.055123257937844
2015-03-06,18.37606866983802
2015-03-07,25.625495182542053
2015-03-08,47.31393152454795
2015-03-09,18.499296241839776
2015-03-10,19.56645220803881
2015-03-11,21.85126667493205
2015-03-12,23.539945795420632
2015-03-13,24.153001947605784
2015-03-14,73.37331784705187
2015-03-15,59.43609701859339
2015-03-16,44.348299534716325
2015-03-17,28.73978563116992
2015-03-18,25.92029364346016
2015-03-19,32.79714364077276
2015-03-20,26.804098171984588
2015-03-21,34.41017732538996
2015-03-22,38.47907780313896
2015-03-23,30.086394717535438
2015-03-24,31.6865688479897
2015-03-25,26.471442448759902
2015-03-26,105.19181150728518
2015-03-27,48.797749857598724
2015-03-28,63.66092626033125
2015-03-29,46.36966064571254
2015-03-30,23.63496374683232
2015-03-31,29.593836179356117
---------
title
"Node Hours: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Node Hours: Per Job","[XSEDE] Std Err of Node Hours: Per Job"
2015-03-01,32.83696424,2.8090675264988114
2015-03-02,26.03166480,2.375500776723557
2015-03-03,19.71661199,1.6250346319221343
2015-03-04,24.95010252,2.2413106105594744
2015-03-05,25.76381691,2.457850181986264
2015-03-06,22.31567764,1.6198974298354756
2015-03-07,23.56823890,1.9737828666482662
2015-03-08,39.23767540,3.4685828654515762
2015-03-09,22.96593738,1.5285780258130774
2015-03-10,21.45999970,1.5391001243725961
2015-03-11,20.81680860,1.6122511452488832
2015-03-12,24.30431540,1.8001392581660758
2015-03-13,26.21375102,1.9271918288494623
2015-03-14,36.50224404,4.877235929664806
2015-03-15,31.87594575,4.000326364953163
2015-03-16,32.13119131,3.1684473540752207
2015-03-17,30.07387971,2.81470916729113
2015-03-18,26.67892038,2.0268386891925605
2015-03-19,27.04724020,2.427047825002764
2015-03-20,25.24523927,1.8304626629903447
2015-03-21,31.04090868,2.2514338210837552
2015-03-22,31.76228810,2.6890651272829356
2015-03-23,26.67678100,2.260927134098472
2015-03-24,27.91219272,2.3961150176298562
2015-03-25,21.43821107,1.9150964559473418
2015-03-26,28.96017806,6.652509693002624
2015-03-27,30.75404608,3.237291276059005
2015-03-28,29.02804296,4.22685195378202
2015-03-29,34.01681954,3.1306339857141317
2015-03-30,23.11234683,1.9528264745913457
2015-03-31,16.60140024,1.8230631413141036
---------
title
"Std Dev: Node Hours: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Std Dev: Node Hours: Per Job"
2015-03-01,2.8090675264988114
2015-03-02,2.375500776723557
2015-03-03,1.6250346319221343
2015-03-04,2.2413106105594744
2015-03-05,2.457850181986264
2015-03-06,1.6198974298354756
2015-03-07,1.9737828666482662
2015-03-08,3.4685828654515762
2015-03-09,1.5285780258130774
2015-03-10,1.5391001243725961
2015-03-11,1.6122511452488832
2015-03-12,1.8001392581660758
2015-03-13,1.9271918288494623
2015-03-14,4.877235929664806
2015-03-15,4.000326364953163
2015-03-16,3.1684473540752207
2015-03-17,2.81470916729113
2015-03-18,2.0268386891925605
2015-03-19,2.427047825002764
2015-03-20,1.8304626629903447
2015-03-21,2.2514338210837552
2015-03-22,2.6890651272829356
2015-03-23,2.260927134098472
2015-03-24,2.3961150176298562
2015-03-25,1.9150964559473418
2015-03-26,6.652509693002624
2015-03-27,3.237291276059005
2015-03-28,4.22685195378202
2015-03-29,3.1306339857141317
2015-03-30,1.9528264745913457
2015-03-31,1.8230631413141036
---------
title
"Wait Hours: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Wait Hours: Per Job","[XSEDE] Std Err of Wait Hours: Per Job"
2015-03-01,10.63089953,0.27027976167619994
2015-03-02,4.06182165,0.12832918242981542
2015-03-03,6.33843028,0.18767236533587758
2015-03-04,6.60767779,0.18353685388888064
2015-03-05,6.02552580,0.18028723092757878
2015-03-06,5.37355581,0.13697429338904676
2015-03-07,7.07452258,0.20363458421447322
2015-03-08,10.84625180,0.32279835581179445
2015-03-09,4.80358751,0.18839862194200305
2015-03-10,4.67122310,0.19081497197799746
2015-03-11,7.64343744,0.20385683092228987
2015-03-12,5.38141156,0.15746866703693516
2015-03-13,11.14389153,0.2746945410555549
2015-03-14,8.19801894,0.26692596907667987
2015-03-15,13.31616318,0.35525886976412924
2015-03-16,9.95279078,0.2970385636417888
2015-03-17,7.20046015,0.21931314371598076
2015-03-18,5.81628476,0.17225316141929145
2015-03-19,7.30486288,0.20770809424657402
2015-03-20,8.98647190,0.2460506347938841
2015-03-21,8.67148797,0.27538213862164757
2015-03-22,9.07483719,0.3118234549058053
2015-03-23,6.35495487,0.23395843130029947
2015-03-24,5.35436050,0.2675371850596307
2015-03-25,4.88923874,0.11996307300661357
2015-03-26,9.83590350,0.32023535880403536
2015-03-27,12.58084973,0.5530437175757791
2015-03-28,8.11106210,0.2781630972741136
2015-03-29,9.48845598,0.25029680675873317
2015-03-30,2.23712285,0.12273441903128005
2015-03-31,12.55317255,0.47180919127430015
---------
title
"Std Dev: Wait Hours: Per Job"
parameters

start,end
2015-03-01,2015-03-31
---------
Date,"[XSEDE] Std Dev: Wait Hours: Per Job"
2015-03-01,0.27027976167619994
2015-03-02,0.12832918242981542
2015-03-03,0.18767236533587758
2015-03-04,0.18353685388888064
2015-03-05,0.18028723092757878
2015-03-06,0.13697429338904676
2015-03-07,0.20363458421447322
2015-03-08,0.32279835581179445
2015-03-09,0.18839862194200305
2015-03-10,0.19081497197799746
2015-03-11,0.20385683092228987
2015-03-12,0.15746866703693516
2015-03-13,0.2746945410555549
2015-03-14,0.26692596907667987
2015-03-15,0.35525886976412924
2015-03-16,0.2970385636417888
2015-03-17,0.21931314371598076
2015-03-18,0.17225316141929145
2015-03-19,0.20770809424657402
2015-03-20,0.2460506347938841
2015-03-21,0.27538213862164757
2015-03-22,0.3118234549058053
2015-03-23,0.23395843130029947
2015-03-24,0.2675371850596307
2015-03-25,0.11996307300661357
2015-03-26,0.32023535880403536
2015-03-27,0.5530437175757791
