title
"Job Size: Per Job (Core Count): by PI"
parameters

start,end
2014-04-30,2015-04-30
---------
PI,"Job Size: Per Job (Core Count)","Std Err of Job Size: Per Job (Core Count)"
"Ong, Benjamin - Michigan Tech",221,64.820153839296
"Becker, Andrew - U Washington",220,37.17962006473324
"Moehlis, Jeff - UC Santa Barbara",220,22.837177376618396
"Offner, Stella S - U Mass, Amherst",220,9.349221902713065
"da Silveira, Pedro Rodrigo Castro - U Minn",220,12.61234460009809
"Klie, Robert F - U Illinois, Chicago",218,1.4324364309709057
"Brannigan, Grace - Rutgers U",215,5.893081440623851
"Hall, David Matthew - CU Boulder",215,6.3351724673530425
"Takhar, Pawan Singh - UIUC",215,55.809439587210285
"Shaw, John Edward - NW Missouri State U",214,21.857492994394395
"Smith, Britton D - U Edinburgh",214,21.141839333747207
"Zeng, Yong - U Missouri, Kansas City",213,50.79328232788296
"Park, Kyungwha - Virginia Tech",212,7.173193471944711
"Tafur, Sergio - U Central Florida",212,52.28789397363246
"Zhu, Zhaohuan - Princeton U",212,23.197266255269348
"Dawson, Clinton N - UT Austin",210,6.416948483642088
"Lin, Kan-Ju - MIT",210,1.6229721443197809
"Doubleday, Charles - Columbia U",209,4.226634299297729
"Kim, Ji-hoon - Caltech",209,6.123183491472048
"Wang, Yang - CMU",209,2.974376308469845
"Work, Daniel  - UIUC",208,72.94747734107577
"Lele, Sanjiva K - Stanford U",206,19.303648982450856
"Morris, Mark - UCLA",206,37.18223390989205
"Morse, David - U Minn",206,7.680246515319839
"Navarro, Rafael - UC San Diego",206,30.36998049737756
"Rempfer, Dietmar - IIT",205,11.259847933676708
"Levine, Benjamin G - Michigan State U",204,12.300269106083451
"Madura, Jeffry D. - Duquesne U",204,5.660910705476288
"Laguna, Pablo - Georgia Tech",203,4.017242968796349
"Sharma, Anupam - Iowa State U",203,14.910927325902723
"Beckstein, Oliver - Arizona State U",202,9.526372933180637
"Ertekin, Elif - UIUC",202,24.742820205311908
"Diener, Peter - Louisiana State U",201,5.942875886868987
"Kim, John - UCLA",201,3.7634708070801617
"Liu, Lijun - UIUC",200,5.042790233354261
"Natarajan, Aravind - CMU",200,20.394538745725885
"Zhigilei, Leonid - U Virginia",200,11.925476204457519
"Tajkhorshid, Emad - UIUC",199,3.0695739460221274
"Al-Saidi, Wissam Abdo - U Pittsburgh",198,2.2233680058822918
"Landau, David P - U Georgia",198,20.48779899210824
"Saltz, Joel H - SUNY Stony Brook",198,9.171772784103782
"Greene, Christopher H. - Purdue U",197,27.33511776196507
"Im, Hong G - U Michigan",197,15.988032633817083
"Jensen, Lasse - Penn State U",197,15.766625087377717
"Kutana, Alex - Rice U",197,25.576285312527627
"Makhatadze, George I - RPI",197,7.585777287186646
"Portegys, Tom - OpenWorm",197,16.239419632486868
"Cooper, Catherine Marguerite - Washington State U",196,8.950436874625552
"Friedline, Christopher James - Virginia Commonwealth U",196,82.80278225121126
"Liebling, Steven - Long Island U",196,5.174844825846428
"Misra, Vasubandhu - Florida State U",196,3.323272093862636
"Ceperley, David M - UIUC",194,10.234377535380029
"Pritchard, Michael - UC Irvine",194,13.62416603447553
"Zhang, Fuqing - Penn State U",193,1.3317511558186064
"Adrian, Ronald John - Arizona State U",192,22.62741699796952
"Cann, Isaac K O - UIUC",192,6.732719579850762
"Lapelosa, Mauro - Drexel U",192,43.81780460041329
"Le, Duy - U Central Florida",192,4.055976730542719
"Lin, Fei - Virginia Tech",192,0
"Teich-McGoldrick, Stephanie Leah - Sandia",192,3.4349655946662554
